Crypto,Date,Time - 24 Hour Format,Time - 12 Hour Format,volume,open,Close Minus Open,Adj Close Minus Open,Close Minus Adj Close,High Minus Open,High Minus Close,High Minus Adj Close,High Minus Low,close,adj_close,high,low,Trade Impact
SPC-USD,03-10-2020,00:00:00,12:00 AM,1954.0,0.005614,0.000301,0.000301,0.0,0.000305,4e-06,4e-06,0.00039,0.005915,0.005915,0.005919,0.005529,Positive Impact
CONX28135-USD,21-03-2025,00:00:00,12:00 AM,46719.0,17.54395866,0.10965538,0.10965538,0.0,0.180545807,0.070890427,0.070890427,0.24229431199999998,17.65361404,17.65361404,17.72450447,17.48221016,Positive Impact
SHX-USD,24-11-2020,00:00:00,12:00 AM,8190.0,0.000192,-3e-06,-3e-06,0.0,1.9e-05,2.2e-05,2.2e-05,3.2e-05,0.00018899999999999999,0.00018899999999999999,0.00021099999999999998,0.00017900000000000001,Negative Impact
PALLA-USD,16-12-2022,00:00:00,12:00 AM,84921.0,0.011293000000000001,0.000133,0.000133,0.0,0.000147,1.4000000000000001e-05,1.4000000000000001e-05,0.000162,0.011426,0.011426,0.01144,0.011278,Positive Impact
PORK29220-USD,16-05-2024,00:00:00,12:00 AM,1864946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Impact
CEL-USD,23-01-2021,00:00:00,12:00 AM,10287504.0,4.935689926,-0.11297082900000001,-0.11297082900000001,0.0,0.016305923,0.129276752,0.129276752,0.19235897100000002,4.822719097,4.822719097,4.95199585,4.759636878999999,Negative Impact
LINA7102-USD,29-10-2023,00:00:00,12:00 AM,8608595.0,0.010456,0.000155999,0.000155999,0.0,0.000393,0.00023700000000000001,0.00023700000000000001,0.0005690000000000001,0.010612,0.010612,0.010849,0.01028,Positive Impact
MTV-USD,10-05-2023,00:00:00,12:00 AM,225584.0,0.001057,4.8e-05,4.8e-05,0.0,4.9e-05,1e-06,1e-06,7.4e-05,0.001105,0.001105,0.001106,0.001032,Negative Impact
KISHU-USD,19-08-2021,00:00:00,12:00 AM,2934093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Impact
XNO-USD,25-07-2023,00:00:00,12:00 AM,1366614.0,0.678313017,0.019529998,0.019529998,0.0,0.034280002000000004,0.014750003999999999,0.014750003999999999,0.044543028,0.697843015,0.697843015,0.712593019,0.6680499910000001,Positive Impact
DMD-USD,09-12-2024,00:00:00,12:00 AM,35952.0,4.955808163,-0.372493267,-0.372493267,0.0,0.07336187400000001,0.445855141,0.445855141,0.587731838,4.583314896,4.583314896,5.029170036,4.441438198,Negative Impact
TPT-USD,30-11-2021,00:00:00,12:00 AM,979346.0,0.025581,-0.001501,-0.001501,0.0,0.000178,0.001679,0.001679,0.0020280000000000003,0.024080001,0.024080001,0.025758999999999997,0.023731001,Negative Impact
BONE11865-USD,01-12-2024,00:00:00,12:00 AM,20048507.0,0.570537984,0.080522001,0.080522001,0.0,0.117856026,0.037334025,0.037334025,0.123301029,0.651059985,0.651059985,0.68839401,0.565092981,Positive Impact
DORA27966-USD,20-01-2024,00:00:00,12:00 AM,405669.0,0.132498994,0.005621001,0.005621001,0.0,0.013633013000000001,0.008012011999999999,0.008012011999999999,0.016474008999999998,0.138119996,0.138119996,0.14613200699999998,0.129657999,Positive Impact
RBC-USD,15-01-2022,00:00:00,12:00 AM,778376.0,0.22935399399999998,0.019375011,0.019375011,0.0,0.029390007000000003,0.010014996,0.010014996,0.035503997999999995,0.248729005,0.248729005,0.258744001,0.22324000300000002,Positive Impact
MCT16946-USD,01-02-2022,00:00:00,12:00 AM,848685.0,0.300983995,0.002443999,0.002443999,0.0,0.004153013,0.001709014,0.001709014,0.005014002,0.303427994,0.303427994,0.305137008,0.300123006,Positive Impact
VET-USD,09-03-2019,00:00:00,12:00 AM,14730236.0,0.004429,0.000439,0.000439,0.0,0.000453,1.4000000000000001e-05,1.4000000000000001e-05,0.00047000000000000004,0.004868,0.004868,0.004882,0.004412,Positive Impact
USDL-USD,08-02-2025,00:00:00,12:00 AM,4962.0,1.00009203,0.00013601799999999998,0.00013601799999999998,0.0,0.000157952,2.1899999999999997e-05,2.1899999999999997e-05,0.000167966,1.000228047,1.000228047,1.000249982,1.000082016,Positive Impact
WOO-USD,21-01-2024,00:00:00,12:00 AM,12486594.0,0.403320998,-0.015033007,-0.015033007,0.0,0.002532005,0.017565011999999998,0.017565011999999998,0.017565011999999998,0.388287991,0.388287991,0.405853003,0.388287991,Negative Impact
SNC-USD,10-03-2023,00:00:00,12:00 AM,241868.0,0.025916999,-0.00031600000000000004,-0.00031600000000000004,0.0,2e-06,0.00031800000000000003,0.00031800000000000003,0.001172001,0.025601,0.025601,0.025919,0.024746999,Negative Impact
TAVA-USD,10-01-2024,00:00:00,12:00 AM,3187458.0,0.059193999000000004,-0.002049997,-0.002049997,0.0,0.0008060000000000001,0.002855998,0.002855998,0.006130996999999999,0.05714400099999999,0.05714400099999999,0.059999999000000005,0.053869002,Negative Impact
QKC-USD,09-06-2019,00:00:00,12:00 AM,15076208.0,0.024946,-0.0019730010000000003,-0.0019730010000000003,0.0,0.000139,0.002112001,0.002112001,0.002732001,0.022972998999999997,0.022972998999999997,0.025085,0.022352999,Negative Impact
JOE-USD,03-02-2025,00:00:00,12:00 AM,22735422.0,0.235514,0.003110006,0.003110006,0.0,0.006367996,0.00325799,0.00325799,0.054207995999999994,0.238624007,0.238624007,0.24188199600000002,0.187674001,Positive Impact
STUSDT-USD,16-06-2024,00:00:00,12:00 AM,34.0,1.000589013,0.006451964,0.006451964,0.0,0.0068719390000000005,0.000419974,0.000419974,0.0068719390000000005,1.007040977,1.007040977,1.007460952,1.000589013,Positive Impact
WONE-USD,19-04-2024,00:00:00,12:00 AM,29166.0,0.015231,0.002048999,0.002048999,0.0,0.004395999,0.0023469999999999997,0.0023469999999999997,0.005007999,0.017279999,0.017279999,0.019626999,0.014619,Positive Impact
SIN12813-USD,16-09-2023,00:00:00,12:00 AM,575150.0,0.002236,9.499999999999999e-05,9.499999999999999e-05,0.0,9.9e-05,4e-06,4e-06,0.000101,0.0023309999999999997,0.0023309999999999997,0.0023350000000000003,0.002234,Negative Impact
MINA-USD,23-03-2022,00:00:00,12:00 AM,335315827.0,2.1555540559999997,0.37363386200000004,0.37363386200000004,0.0,0.650769949,0.277136087,0.277136087,0.651542902,2.5291879180000003,2.5291879180000003,2.806324005,2.154781103,Positive Impact
HAPI-USD,05-02-2024,00:00:00,12:00 AM,619488.0,23.98204994,1.24389267,1.24389267,0.0,2.356231689,1.11233902,1.11233902,2.677171707,25.22594261,25.22594261,26.33828163,23.66110992,Positive Impact
STARL-USD,22-09-2021,00:00:00,12:00 AM,5701840.0,1.1e-05,2e-06,2e-06,0.0,2e-06,0.0,0.0,2e-06,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.1e-05,Negative Impact
DF-USD,17-04-2023,00:00:00,12:00 AM,2856983.0,0.06909699700000001,-0.002473995,-0.002473995,0.0,1.2e-05,0.0024859979999999997,0.0024859979999999997,0.003558002,0.066623002,0.066623002,0.069109,0.065550998,Negative Impact
ALICE-USD,03-04-2023,00:00:00,12:00 AM,24479040.0,1.568127036,0.007266998,0.007266998,0.0,0.028227925,0.020960927,0.020960927,0.082072973,1.575394034,1.575394034,1.5963549609999999,1.514281988,Positive Impact
VBTC-USD,08-02-2021,00:00:00,12:00 AM,0.0,780.1364136,139.8505249,139.8505249,0.0,144.6384888,4.787963867,4.787963867,172.99646,919.9869385,919.9869385,924.7749023,751.7784424,Positive Impact
CTXC-USD,06-06-2023,00:00:00,12:00 AM,1549066.0,0.156424001,0.0060029919999999995,0.0060029919999999995,0.0,0.007532001,0.0015290079999999999,0.0015290079999999999,0.010220006,0.16242699300000002,0.16242699300000002,0.163956001,0.153735995,Positive Impact
VOXEL-USD,04-03-2024,00:00:00,12:00 AM,12346751.0,0.323132992,-0.017744988,-0.017744988,0.0,0.0018559989999999999,0.019600987,0.019600987,0.026621997,0.305388004,0.305388004,0.324988991,0.298366994,Negative Impact
GO-USD,16-07-2020,00:00:00,12:00 AM,1544986.0,0.011483,0.000754001,0.000754001,0.0,0.001333,0.000579,0.000579,0.001734,0.012237,0.012237,0.012816,0.011082,Positive Impact
VLINK-USD,07-04-2022,00:00:00,12:00 AM,0.0,0.311746001,0.006987989,0.006987989,0.0,0.008385986,0.0013979970000000002,0.0013979970000000002,0.012165993,0.31873399,0.31873399,0.320131987,0.30796599399999997,Positive Impact
TOKEN28299-USD,26-09-2024,00:00:00,12:00 AM,9549602.0,0.057737999000000005,0.005061999,0.005061999,0.0,0.0057509990000000006,0.0006889999999999999,0.0006889999999999999,0.006767999,0.062799998,0.062799998,0.063488998,0.056720997999999995,Positive Impact
TONIC-USD,06-09-2024,00:00:00,12:00 AM,17104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Impact
ELA-USD,05-03-2021,00:00:00,12:00 AM,4106233.0,2.909755945,0.022902012000000003,0.022902012000000003,0.0,0.039360046,0.016458035,0.016458035,0.164872885,2.932657957,2.932657957,2.949115992,2.784243107,Positive Impact
GRASS32956-USD,02-01-2025,00:00:00,12:00 AM,171263536.0,2.6413180830000003,0.651904821,0.651904821,0.0,0.7513248920000001,0.099420071,0.099420071,0.778260946,3.293222904,3.293222904,3.392642975,2.614382029,Positive Impact
ELF-USD,17-04-2022,00:00:00,12:00 AM,7613215.0,0.337042987,-0.011595993999999998,-0.011595993999999998,0.0,0.001619011,0.013215005,0.013215005,0.013332008999999999,0.325446993,0.325446993,0.338661999,0.325329989,Negative Impact
DJED-USD,12-08-2023,00:00:00,12:00 AM,61698.0,1.061076999,0.006057978,0.006057978,0.0,0.023903966000000002,0.017845988,0.017845988,0.032872915,1.067134976,1.067134976,1.084980965,1.052108049,Positive Impact
PHB-USD,04-07-2020,00:00:00,12:00 AM,149209.0,0.003173,9.8e-05,9.8e-05,0.0,0.000131,3.3e-05,3.3e-05,0.00022799999999999999,0.003271,0.003271,0.003304,0.003076,Negative Impact
ILV-USD,12-09-2023,00:00:00,12:00 AM,5931065.0,39.24945068,0.702552795,0.702552795,0.0,1.292366028,0.589813232,0.589813232,1.44865036,39.95200348,39.95200348,40.54181671,39.09316635,Positive Impact
CET-USD,06-04-2019,00:00:00,12:00 AM,3274818.0,0.023125,0.005275,0.005275,0.0,0.007464999,0.0021899989999999998,0.0021899989999999998,0.007946,0.0284,0.0284,0.03059,0.022644,Positive Impact
BOTX-USD,09-04-2022,00:00:00,12:00 AM,123675.0,0.47096499799999997,-0.046039999000000005,-0.046039999000000005,0.0,0.006150007,0.052190006,0.052190006,0.061872005,0.42492499899999997,0.42492499899999997,0.477115005,0.41524300000000003,Negative Impact
KAR-USD,16-12-2021,00:00:00,12:00 AM,3144576.0,3.43406105,0.386016846,0.386016846,0.0,0.5772051810000001,0.191188335,0.191188335,0.585439205,3.8200778960000004,3.8200778960000004,4.011266232,3.4258270260000003,Positive Impact
RENDER-USD,09-07-2021,00:00:00,12:00 AM,3791411.0,0.628570974,-0.010748981999999999,-0.010748981999999999,0.0,0.022411048,0.033160031,0.033160031,0.055757999,0.617821991,0.617821991,0.650982022,0.595224023,Negative Impact
BCD-USD,25-10-2019,00:00:00,12:00 AM,4688641.0,0.442586005,0.033134997,0.033134997,0.0,0.035665989,0.002530992,0.002530992,0.059466004,0.475721002,0.475721002,0.47825199399999996,0.41878598899999997,Positive Impact
EGLD-USD,11-07-2021,00:00:00,12:00 AM,26271850.0,88.27855682,0.9133758540000001,0.9133758540000001,0.0,3.684883118,2.771507263,2.771507263,5.005249023,89.19193268,89.19193268,91.96343994,86.95819092,Positive Impact
REQ-USD,29-11-2024,00:00:00,12:00 AM,3143987.0,0.122314997,0.001238003,0.001238003,0.0,0.001457006,0.00021900200000000002,0.00021900200000000002,0.004738003,0.123553,0.123553,0.123772003,0.11903399999999999,Positive Impact
KDA-USD,26-03-2023,00:00:00,12:00 AM,4427540.0,0.9347760079999999,0.013567983999999998,0.013567983999999998,0.0,0.030821979,0.017253995,0.017253995,0.035732985,0.9483439920000001,0.9483439920000001,0.965597987,0.929865003,Positive Impact
HOPR-USD,01-07-2024,00:00:00,12:00 AM,309116.0,0.065830998,0.000771999,0.000771999,0.0,0.001004003,0.000232004,0.000232004,0.0011300000000000001,0.066602997,0.066602997,0.06683500099999999,0.065705001,Positive Impact
FIO-USD,01-01-2024,00:00:00,12:00 AM,1747840.0,0.028046999,0.000582,0.000582,0.0,0.0011910010000000001,0.000609001,0.000609001,0.001878001,0.028628999,0.028628999,0.029238001,0.027360000000000002,Positive Impact
SWFTC-USD,06-08-2021,00:00:00,12:00 AM,16517645.0,0.002012,7.7e-05,7.7e-05,0.0,0.000308,0.000231,0.000231,0.00047699999999999994,0.002089,0.002089,0.00232,0.001843,Negative Impact
APEX19843-USD,21-10-2024,00:00:00,12:00 AM,44586552.0,1.439715981,-0.015388012,-0.015388012,0.0,0.005315065,0.020703077,0.020703077,0.038397073999999996,1.42432797,1.42432797,1.4450310469999998,1.4066339730000001,Negative Impact
WSEI-USD,25-11-2024,00:00:00,12:00 AM,135047.0,0.6568239929999999,-0.027854979,-0.027854979,0.0,0.031244993,0.059099972,0.059099972,0.09322100900000001,0.6289690139999999,0.6289690139999999,0.688068986,0.594847977,Negative Impact
XDB-USD,20-07-2021,00:00:00,12:00 AM,502227.0,0.066526003,-0.005954005,-0.005954005,0.0,0.0,0.005954005,0.005954005,0.0068550040000000005,0.060571997999999995,0.060571997999999995,0.066526003,0.059671,Negative Impact
WNK-USD,08-08-2022,00:00:00,12:00 AM,60764.0,0.002107,8e-06,8e-06,0.0,6.9e-05,6.1e-05,6.1e-05,7.3e-05,0.0021149999999999997,0.0021149999999999997,0.002176,0.0021030000000000003,Negative Impact
BOO-USD,28-12-2023,00:00:00,12:00 AM,316023.0,1.398869991,-0.14628005,-0.14628005,0.0,0.038071036,0.184351087,0.184351087,0.21020007100000002,1.2525899409999999,1.2525899409999999,1.4369410280000001,1.226740956,Negative Impact
DF-USD,03-02-2024,00:00:00,12:00 AM,1893999.0,0.040075999,-3.7e-05,-3.7e-05,0.0,0.0017900020000000002,0.001827002,0.001827002,0.0018440000000000002,0.040038999,0.040038999,0.041866001,0.040022001,Negative Impact
XNC-USD,16-01-2022,00:00:00,12:00 AM,68115.0,1.730967999,-0.02590394,-0.02590394,0.0,0.016538978,0.042442917999999996,0.042442917999999996,0.046187997,1.705064058,1.705064058,1.747506976,1.701318979,Negative Impact
PANDORA-USD,24-12-2024,00:00:00,12:00 AM,3489126.0,1904.4786379999998,28.28161621,28.28161621,0.0,57.83654785,29.55493164,29.55493164,95.27453613,1932.7602539999998,1932.7602539999998,1962.315186,1867.0406489999998,Positive Impact
CHEEL-USD,28-10-2023,00:00:00,12:00 AM,3570284.0,9.199192047,-0.045310974000000004,-0.045310974000000004,0.0,0.039225578,0.08453655199999999,0.08453655199999999,0.15180397,9.153881072999999,9.153881072999999,9.238417625,9.086613655,Negative Impact
VET-USD,03-03-2020,00:00:00,12:00 AM,161355448.0,0.005796,5e-06,5e-06,0.0,6.8e-05,6.3e-05,6.3e-05,0.00022400000000000002,0.005801,0.005801,0.005864,0.00564,Negative Impact
PAXG-USD,03-06-2021,00:00:00,12:00 AM,22907718.0,1912.87561,-34.11584473,-34.11584473,0.0,2.240600586,36.35644531,36.35644531,37.98791504,1878.7597660000001,1878.7597660000001,1915.116211,1877.128296,Negative Impact
XCP-USD,18-06-2020,00:00:00,12:00 AM,1208.0,1.029057026,0.036315917999999996,0.036315917999999996,0.0,0.039641976,0.003326058,0.003326058,0.041295052,1.0653729440000002,1.0653729440000002,1.068699002,1.027403951,Positive Impact
BOO-USD,17-10-2024,00:00:00,12:00 AM,95617.0,1.320384026,-0.059301019,-0.059301019,0.0,0.040336013,0.09963703199999999,0.09963703199999999,0.102637053,1.261083007,1.261083007,1.3607200380000002,1.258082986,Negative Impact
CYBRO-USD,30-01-2025,00:00:00,12:00 AM,1261685.0,0.020575,0.00032800099999999997,0.00032800099999999997,0.0,0.00061,0.000281999,0.000281999,0.001266999,0.020903001,0.020903001,0.021184999,0.019918,Positive Impact
HOGE-USD,07-11-2022,00:00:00,12:00 AM,41242.0,3.1e-05,-1e-06,-1e-06,0.0,1e-06,2e-06,2e-06,3e-06,2.9999999999999997e-05,2.9999999999999997e-05,3.2e-05,2.8999999999999997e-05,Negative Impact
PART-USD,18-05-2023,00:00:00,12:00 AM,765.0,0.42197099299999996,0.035569012000000004,0.035569012000000004,0.0,0.035980999,0.000411987,0.000411987,0.037669003,0.457540005,0.457540005,0.45795199299999995,0.42028299,Positive Impact
MXC-USD,02-04-2022,00:00:00,12:00 AM,22431722.0,0.10487499800000001,-0.002472997,-0.002472997,0.0,0.0016579999999999998,0.004130997,0.004130997,0.004229002,0.10240200199999999,0.10240200199999999,0.106532998,0.102303997,Negative Impact
MDAI-USD,29-11-2024,00:00:00,12:00 AM,52200.0,3.6622190480000003,-0.234418154,-0.234418154,0.0,0.0,0.234418154,0.234418154,0.588380098,3.4278008939999998,3.4278008939999998,3.6622190480000003,3.0738389489999998,Negative Impact
CHI-USD,07-12-2020,00:00:00,12:00 AM,38019.0,0.037765,0.002354998,0.002354998,0.0,0.002613001,0.000258002,0.000258002,0.0026310009999999996,0.040119998,0.040119998,0.040378001000000004,0.037746998999999996,Positive Impact
BCA-USD,12-09-2018,00:00:00,12:00 AM,13934.0,0.270457,0.004832,0.004832,0.0,0.013799995,0.008967995999999999,0.008967995999999999,0.025812984,0.275288999,0.275288999,0.284256995,0.25844401100000003,Positive Impact
XELS-USD,05-11-2024,00:00:00,12:00 AM,297076.0,0.049708000999999995,6.6e-05,6.6e-05,0.0,0.00018899900000000002,0.000123002,0.000123002,0.000468001,0.049773999000000006,0.049773999000000006,0.049897000000000004,0.049428999,Negative Impact
NOW-USD,11-04-2023,00:00:00,12:00 AM,134.0,0.067022003,-0.001215003,-0.001215003,0.0,0.000838995,0.002053998,0.002053998,0.002252996,0.065807,0.065807,0.06786099799999999,0.065608002,Negative Impact
BAR-USD,28-10-2023,00:00:00,12:00 AM,2050576.0,2.250705004,-0.030117035,-0.030117035,0.0,0.016664028,0.046781063,0.046781063,0.049155950999999996,2.220587969,2.220587969,2.267369032,2.218213081,Negative Impact
CKBTC-USD,01-08-2024,00:00:00,12:00 AM,147639.0,64197.02344,1217.2460939999999,1217.2460939999999,0.0,1675.7421880000002,458.4960938,458.4960938,4062.28125,65414.26953,65414.26953,65872.76563,61810.484379999994,Positive Impact
PINO-USD,07-01-2025,00:00:00,12:00 AM,312877.0,0.023186000000000002,-0.0016809999999999998,-0.0016809999999999998,0.0,0.00031,0.001991,0.001991,0.004348001,0.021505,0.021505,0.023496,0.019148,Negative Impact
BEAM-USD,18-10-2024,00:00:00,12:00 AM,82955.0,0.039223,0.000732001,0.000732001,0.0,0.001024999,0.000292998,0.000292998,0.0017049979999999999,0.039955001000000004,0.039955001000000004,0.040247999,0.038543001,Positive Impact
BCH-USD,05-11-2023,00:00:00,12:00 AM,152062842.0,240.3368225,-2.102264404,-2.102264404,0.0,2.63458252,4.736846924,4.736846924,7.328063965,238.2345581,238.2345581,242.97140499999998,235.6433411,Negative Impact
CREAM-USD,14-05-2022,00:00:00,12:00 AM,1824729.0,18.5864296,1.0357971190000002,1.0357971190000002,0.0,1.055400848,0.019603729,0.019603729,1.8250408169999999,19.62222672,19.62222672,19.64183044,17.81678963,Positive Impact
BAND-USD,24-10-2024,00:00:00,12:00 AM,5735942.0,1.144768,0.018381,0.018381,0.0,0.030014992,0.011633992,0.011633992,0.053427935,1.1631489990000001,1.1631489990000001,1.1747829909999998,1.121355057,Positive Impact
WTRX-USD,01-07-2024,00:00:00,12:00 AM,2630261.0,0.12471400199999999,0.0032469929999999997,0.0032469929999999997,0.0,0.003784001,0.0005370080000000001,0.0005370080000000001,0.004051,0.127960995,0.127960995,0.128498003,0.12444700300000001,Positive Impact
TOP-USD,15-06-2020,00:00:00,12:00 AM,1333994.0,0.0027719999999999997,0.000197,0.000197,0.0,0.000236,3.9e-05,3.9e-05,0.000549,0.0029690000000000003,0.0029690000000000003,0.003008,0.002459,Positive Impact
CVC-USD,11-05-2024,00:00:00,12:00 AM,14212893.0,0.163902998,-0.003549993,-0.003549993,0.0,0.001506999,0.005056992,0.005056992,0.006264001,0.160353005,0.160353005,0.165409997,0.15914599599999998,Negative Impact
WCRO-USD,18-08-2024,00:00:00,12:00 AM,493844.0,0.08789800099999999,-0.001363002,-0.001363002,0.0,0.000619002,0.001982003,0.001982003,0.001982003,0.086534999,0.086534999,0.08851700300000001,0.086534999,Negative Impact
CKB-USD,15-11-2023,00:00:00,12:00 AM,3494447.0,0.0036299999999999995,8.1e-05,8.1e-05,0.0,0.000103,2.2e-05,2.2e-05,0.000124,0.003711,0.003711,0.0037329999999999998,0.0036090000000000002,Negative Impact
LDO-USD,13-08-2023,00:00:00,12:00 AM,65667154.0,1.842661977,-0.024263023999999998,-0.024263023999999998,0.0,0.0015779729999999999,0.025840997999999997,0.025840997999999997,0.028828978999999998,1.818398952,1.818398952,1.84423995,1.8154109719999998,Negative Impact
